Model,k,params,cv_splits,threshold,Accuracy,Precision,Recall,F1 Score
XGBoost,40,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.06, ""max_depth"": 6, ""n_estimators"": 360, ""scale_pos_weight"": 1.2, ""subsample"": 0.85}",3,0.35,0.9990791677581704,0.9991469430583467,0.9988742938164622,0.9990105783184737
XGBoost,40,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 320, ""scale_pos_weight"": 1.1, ""subsample"": 0.8}",3,0.35,0.9990632913402079,0.9990788056962293,0.9989084075002469,0.9989935956981949
XGBoost,40,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 6, ""n_estimators"": 300, ""scale_pos_weight"": 1.1, ""subsample"": 0.8}",3,0.4,0.9990394767132639,0.9991979908885371,0.9987378451903522,0.9989678480373755
XGBoost,40,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""n_estimators"": 280, ""scale_pos_weight"": 1.0, ""subsample"": 0.85}",3,0.4,0.9989680328324324,0.999078662343574,0.9987037332520043,0.9988911223452
Random Forest,40,"{""class_weight"": {""0"": 1.0, ""1"": 1.4}}",3,0.45,0.9987775158168813,0.999214571759652,0.9981579387475642,0.9986859450563905
Random Forest,40,"{""class_weight"": {""0"": 1.0, ""1"": 1.2}}",3,0.4,0.9987616393989187,0.9989419272543821,0.9983967249341545,0.9986692140225634
Random Forest,40,"{""class_weight"": ""balanced""}",3,0.45,0.9987378247719749,0.9992485935988554,0.9980385456542692,0.9986431885160583
XGBoost,35,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 320, ""scale_pos_weight"": 1.1, ""subsample"": 0.8}",3,0.35,0.9987140101450311,0.998499500396198,0.9987378556629714,0.9986186523377136
XGBoost,38,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 320, ""scale_pos_weight"": 1.1, ""subsample"": 0.8}",3,0.35,0.9986901955180872,0.9987034896603159,0.998482016561721,0.9985927302197588
XGBoost,38,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 6, ""n_estimators"": 300, ""scale_pos_weight"": 1.1, ""subsample"": 0.8}",3,0.35,0.9986743191001247,0.998567481548894,0.9985843488858918,0.9985758692490553
XGBoost,35,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.06, ""max_depth"": 6, ""n_estimators"": 360, ""scale_pos_weight"": 1.2, ""subsample"": 0.85}",3,0.45,0.998658442682162,0.9987884380462188,0.998328512402796,0.9985583995815274
XGBoost,38,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.06, ""max_depth"": 6, ""n_estimators"": 360, ""scale_pos_weight"": 1.2, ""subsample"": 0.85}",3,0.45,0.9986346280552182,0.9988224765690749,0.9982432295024123,0.998532742700866
XGBoost,35,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 6, ""n_estimators"": 300, ""scale_pos_weight"": 1.1, ""subsample"": 0.8}",3,0.4,0.9986266898462368,0.9985841638430036,0.9984649610289061,0.9985245582971368
XGBoost,35,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""n_estimators"": 280, ""scale_pos_weight"": 1.0, ""subsample"": 0.85}",3,0.45,0.998602875219293,0.9988904374037256,0.9981067843671753,0.9984984395253297
XGBoost,38,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""n_estimators"": 280, ""scale_pos_weight"": 1.0, ""subsample"": 0.85}",3,0.45,0.9985393695474428,0.9988222301771693,0.9980385578723245,0.9984302239497955
Random Forest,38,"{""class_weight"": {""0"": 1.0, ""1"": 1.2}}",3,0.4,0.9984520492486486,0.9984815232531439,0.998192063776686,0.9983367593062825
Random Forest,38,"{""class_weight"": {""0"": 1.0, ""1"": 1.4}}",3,0.45,0.9984202964127235,0.9987536977389965,0.9978509417750517,0.9983020963184323
Random Forest,38,"{""class_weight"": ""balanced""}",3,0.45,0.998412358203742,0.9988388160639873,0.9977486068327263,0.9982933813542085
Random Forest,35,"{""class_weight"": {""0"": 1.0, ""1"": 1.4}}",3,0.4,0.9984044199947607,0.9983622593855346,0.9982091201822191,0.9982856669146338
Random Forest,35,"{""class_weight"": {""0"": 1.0, ""1"": 1.2}}",3,0.45,0.9983964817857794,0.9987536137848502,0.9977997751766073,0.9982764481626162
Random Forest,35,"{""class_weight"": ""balanced""}",3,0.45,0.9983726671588355,0.9987705581448907,0.9977315512999114,0.9982507466836389
Neural Network,40,{},3,0.45,0.9964039913314758,0.9964503042425122,0.9958212574435973,0.9961355939371046
Neural Network,35,{},3,0.45,0.9961579068530559,0.9964482036147589,0.9952925088720712,0.9958700112210991
Neural Network,38,{},3,0.4,0.9960547101362991,0.9968725381044173,0.9946443663345317,0.9957567913005927
